,CURRENT_PRICE,PREDICTED_PRICE
2025-04-26 11:38:30,,283.91324
2025-04-26 11:39:30,,283.91324
2025-04-26 11:40:30,,283.91324
2025-04-26 11:41:30,,283.91324
2025-04-26 11:42:30,,283.91324
2025-04-26 11:43:30,,283.91324
2025-04-26 11:44:30,,283.91324
2025-04-26 11:45:30,,283.91324
2025-04-26 11:46:30,,283.91324
2025-04-26 11:47:30,,283.91324
2025-04-26 11:48:30,,283.91324
2025-04-26 11:49:30,,283.91324
2025-04-26 11:50:30,,283.91324
2025-04-26 11:51:30,,283.91324
2025-04-26 11:52:30,,283.91324
2025-04-26 11:53:30,,283.91324
2025-04-26 11:54:30,,283.91324
2025-04-26 11:55:30,,283.91324
2025-04-26 11:56:30,,283.91324
2025-04-26 11:57:30,,283.91324
2025-04-26 11:58:30,,283.91324
2025-04-26 11:59:30,,283.91324
2025-04-26 12:00:30,,283.91324
2025-04-26 12:01:30,,283.91324
2025-04-26 12:02:30,,283.91324
2025-04-26 12:03:30,,283.91324
2025-04-26 12:04:30,,283.91324
2025-04-26 12:05:30,,283.91324
2025-04-26 12:06:30,,283.91324
2025-04-26 12:07:30,,283.91324
2025-04-26 12:08:30,,283.91324
2025-04-26 12:09:30,,283.91324
2025-04-26 12:10:30,,283.91324
2025-04-26 12:11:30,,283.91324
2025-04-26 12:12:30,,283.91324
2025-04-26 12:13:30,,283.91324
2025-04-26 12:14:30,,283.91324
2025-04-26 12:15:30,,283.91324
2025-04-26 12:16:30,,283.91324
2025-04-26 12:17:30,,283.91324
2025-04-26 12:18:30,,283.91324
2025-04-26 12:19:30,,283.91324
2025-04-26 12:20:30,,283.91324
2025-04-26 12:21:30,,283.91324
2025-04-26 12:22:30,,283.91324
2025-04-26 12:23:30,,283.91324
2025-04-26 12:24:30,,283.91324
2025-04-26 12:25:30,,283.91324
2025-04-26 12:26:30,,283.91324
2025-04-26 12:27:30,,283.91324
2025-04-26 12:28:30,,283.91324
2025-04-26 12:29:30,,283.91324
2025-04-26 12:30:30,,283.91324
2025-04-26 12:31:30,,283.91324
2025-04-26 12:32:30,,283.91324
2025-04-26 12:33:30,,283.91324
2025-04-26 12:34:30,,283.91324
2025-04-26 12:35:30,,283.91324
2025-04-26 12:36:30,,283.91324
2025-04-26 12:37:30,,283.91324
2025-04-26 12:38:30,,283.91324
2025-04-26 12:39:30,,283.91324
2025-04-26 12:40:30,,283.91324
2025-04-26 12:41:30,,283.91324
2025-04-26 12:42:30,,283.91324
2025-04-26 12:43:30,,283.91324
2025-04-26 12:44:30,,283.91324
2025-04-26 12:45:30,,283.91324
2025-04-26 12:46:30,,283.91324
2025-04-26 12:47:30,,283.91324
2025-04-26 12:48:30,,283.91324
2025-04-26 12:49:30,,283.91324
2025-04-26 12:50:30,,283.91324
2025-04-26 12:51:30,,283.91324
2025-04-26 12:52:30,,283.91324
2025-04-26 12:53:30,,283.91324
2025-04-26 12:54:30,,283.91324
2025-04-26 12:55:30,,283.91324
2025-04-26 12:56:30,,283.91324
2025-04-26 12:57:30,,283.91324
2025-04-26 12:58:30,,283.91324
2025-04-26 12:59:30,,283.91324
2025-04-26 13:00:30,,283.91324
2025-04-26 13:01:30,,283.91324
2025-04-26 13:02:30,,283.91324
2025-04-26 13:03:30,,283.91324
2025-04-26 13:04:30,,283.91324
2025-04-26 13:05:30,,283.91324
2025-04-26 13:06:30,,283.91324
2025-04-26 13:07:30,,283.91324
2025-04-26 13:08:30,,283.91324
2025-04-26 13:09:30,,283.91324
2025-04-26 13:10:30,,283.91324
2025-04-26 13:11:30,,283.91324
2025-04-26 13:12:30,,283.91324
2025-04-26 13:13:30,,283.91324
2025-04-26 13:14:30,,283.91324
2025-04-26 13:15:30,,283.91324
2025-04-26 13:16:30,,283.91324
2025-04-26 13:17:30,,283.91324
2025-04-26 13:18:30,,283.91324
2025-04-26 13:19:30,,283.91324
2025-04-26 13:20:30,,283.91324
2025-04-26 13:21:30,,283.91324
2025-04-26 13:22:30,,283.91324
2025-04-26 13:23:30,,283.91324
2025-04-26 13:24:30,,283.91324
2025-04-26 13:25:30,,283.91324
2025-04-26 13:26:30,,283.91324
2025-04-26 13:27:30,,283.91324
2025-04-26 13:28:30,,283.91324
2025-04-26 13:29:30,,283.91324
2025-04-26 13:30:30,,283.91324
2025-04-26 13:31:30,,283.91324
2025-04-26 13:32:30,,283.91324
2025-04-26 13:33:30,,283.91324
2025-04-26 13:34:30,,283.91324
2025-04-26 13:35:30,,283.91324
2025-04-26 13:36:30,,283.91324
2025-04-26 13:37:30,,283.91324
2025-04-26 13:38:30,,283.91324
2025-04-26 13:39:30,,283.91324
2025-04-26 13:40:30,,283.91324
2025-04-26 13:41:30,,283.91324
2025-04-26 13:42:30,,283.91324
2025-04-26 13:43:30,,283.91324
2025-04-26 13:44:30,,283.91324
2025-04-26 13:45:30,,283.91324
2025-04-26 13:46:30,,283.91324
2025-04-26 13:47:30,,283.91324
2025-04-26 13:48:30,,283.91324
2025-04-26 13:49:30,,283.91324
2025-04-26 13:50:30,,283.91324
2025-04-26 13:51:30,,283.91324
2025-04-26 13:52:30,,283.91324
2025-04-26 13:53:30,,283.91324
2025-04-26 13:54:30,,283.91324
2025-04-26 13:55:30,,283.91324
2025-04-26 13:56:30,,283.91324
2025-04-26 13:57:30,,283.91324
2025-04-26 13:58:30,,283.91324
2025-04-26 13:59:30,,283.91324
2025-04-26 14:00:30,,283.91324
2025-04-26 14:01:30,,283.91324
2025-04-26 14:02:30,,283.91324
2025-04-26 14:03:30,,283.91324
2025-04-26 14:04:30,,283.91324
2025-04-26 14:05:30,,283.91324
2025-04-26 14:06:30,,283.91324
2025-04-26 14:07:30,,283.91324
2025-04-26 14:08:30,,283.91324
2025-04-26 14:09:30,,283.91324
2025-04-26 14:10:30,,283.91324
2025-04-26 14:11:30,,283.91324
2025-04-26 14:12:30,,283.91324
2025-04-26 14:13:30,,283.91324
2025-04-26 14:14:30,,283.91324
2025-04-26 14:15:30,,283.91324
2025-04-26 14:16:30,,283.91324
2025-04-26 14:17:30,,283.91324
2025-04-26 14:18:30,,283.91324
2025-04-26 14:19:30,,283.91324
