,STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
2025-04-17 13:09:00,AAPL,197.89,197.815,197.8699951171875
2025-04-17 13:10:00,AAPL,197.8015,197.62,197.82391357421875
2025-04-17 13:11:00,AAPL,197.62,197.49,197.7709503173828
2025-04-17 13:12:00,AAPL,197.48,197.36,197.7082061767578
2025-04-17 13:13:00,AAPL,197.3724,197.485,197.6344451904297
2025-04-17 13:14:00,AAPL,197.475,197.315,197.56814575195312
2025-04-17 13:15:00,AAPL,197.32,197.4,197.4989013671875
2025-04-17 13:16:00,AAPL,197.4,197.24,197.43894958496094
2025-04-17 13:17:00,AAPL,197.23,197.19,197.3776092529297
2025-04-17 13:18:00,AAPL,197.195,197.09,197.31631469726562
2025-04-17 13:19:00,AAPL,197.09,197.05,197.25242614746094
2025-04-17 13:20:00,AAPL,197.03,196.87,197.188720703125
2025-04-17 13:21:00,AAPL,196.8725,196.8727,197.11695861816406
2025-04-17 13:22:00,AAPL,196.88,196.81,197.04563903808594
2025-04-17 13:23:00,AAPL,196.8072,196.775,196.97535705566406
2025-04-17 13:24:00,AAPL,196.775,196.825,196.90841674804688
2025-04-17 13:25:00,AAPL,196.86,196.9975,196.85205078125
2025-04-17 13:26:00,AAPL,196.99,196.77,196.81890869140625
2025-04-17 13:27:00,AAPL,196.7702,197.01,196.78646850585938
2025-04-17 13:28:00,AAPL,197.01,196.88,196.77438354492188
2025-04-17 13:29:00,AAPL,196.88,196.71,196.76673889160156
2025-04-17 13:30:00,AAPL,196.71,196.77,196.75059509277344
2025-04-17 13:31:00,AAPL,196.77,197.0,196.73497009277344
2025-04-17 13:32:00,AAPL,196.99,197.05,196.737548828125
2025-04-17 13:33:00,AAPL,197.04,197.215,196.7550506591797
2025-04-17 13:34:00,AAPL,197.215,197.27,196.792724609375
2025-04-17 13:35:00,AAPL,197.2864,197.16,196.84445190429688
2025-04-17 13:36:00,AAPL,197.15,197.4,196.8936767578125
2025-04-17 13:37:00,AAPL,197.39,197.29,196.95535278320312
2025-04-17 13:38:00,AAPL,197.3,197.44,197.0126495361328
2025-04-17 13:39:00,AAPL,197.479,197.63,197.0741729736328
2025-04-17 13:40:00,AAPL,197.615,197.4829,197.14767456054688
2025-04-17 13:41:00,AAPL,197.4921,197.3,197.21286010742188
2025-04-17 13:42:00,AAPL,197.2804,197.1,197.2551727294922
2025-04-17 13:43:00,AAPL,197.0997,197.24,197.26589965820312
2025-04-17 13:44:00,AAPL,197.23,197.38,197.2661895751953
2025-04-17 13:45:00,AAPL,197.375,197.49,197.269775390625
2025-04-17 13:46:00,AAPL,197.5111,197.8341,197.2827911376953
2025-04-17 13:47:00,AAPL,197.85,198.05,197.32525634765625
2025-04-17 13:48:00,AAPL,198.05,197.9626,197.39828491210938
2025-04-17 13:49:00,AAPL,197.96,197.76,197.47882080078125
2025-04-17 13:50:00,AAPL,197.74,197.8,197.5437469482422
2025-04-17 13:51:00,AAPL,197.8,197.9696,197.59725952148438
2025-04-17 13:52:00,AAPL,197.94,198.118,197.6520538330078
2025-04-17 13:53:00,AAPL,198.09,198.2,197.71421813964844
2025-04-17 13:54:00,AAPL,198.17,198.055,197.7822723388672
2025-04-17 13:55:00,AAPL,198.03,198.17,197.8385467529297
2025-04-17 13:56:00,AAPL,198.16,197.9285,197.8916473388672
2025-04-17 13:57:00,AAPL,197.9252,197.8601,197.92137145996094
2025-04-17 13:58:00,AAPL,197.86,197.865,197.9293975830078
2025-04-17 13:59:00,AAPL,197.855,197.81,197.92344665527344
2025-04-17 14:00:00,AAPL,197.82,197.8,197.90492248535156
2025-04-17 14:01:00,AAPL,197.8026,197.9601,197.87887573242188
2025-04-17 14:02:00,AAPL,197.99,198.0,197.86119079589844
2025-04-17 14:03:00,AAPL,198.0339,197.95,197.85247802734375
2025-04-17 14:04:00,AAPL,197.95,198.37,197.8461456298828
2025-04-17 14:05:00,AAPL,198.34,198.315,197.87184143066406
2025-04-17 14:06:00,AAPL,198.34,198.36,197.9114227294922
2025-04-17 14:07:00,AAPL,198.34,198.32,197.96014404296875
2025-04-17 14:08:00,AAPL,198.3153,198.53,198.00819396972656
2025-04-17 14:09:00,AAPL,198.5389,198.48,198.06761169433594
2025-04-17 14:10:00,AAPL,198.48,198.68,198.126220703125
2025-04-17 14:11:00,AAPL,198.67,198.64,198.1946258544922
2025-04-17 14:12:00,AAPL,198.66,198.4953,198.2612762451172
2025-04-17 14:13:00,AAPL,198.49,198.32,198.31163024902344
2025-04-17 14:14:00,AAPL,198.34,198.26,198.3356170654297
2025-04-17 14:15:00,AAPL,198.255,198.22,198.3371124267578
2025-04-17 14:16:00,AAPL,198.21,198.03,198.32142639160156
2025-04-17 14:17:00,AAPL,198.05,198.41,198.28219604492188
2025-04-17 14:18:00,AAPL,198.41,198.355,198.25828552246094
2025-04-17 14:19:00,AAPL,198.34,198.5032,198.24114990234375
2025-04-17 14:20:00,AAPL,198.48,198.5833,198.2399444580078
2025-04-17 14:21:00,AAPL,198.56,198.53,198.25425720214844
2025-04-17 14:22:00,AAPL,198.52,198.53,198.27328491210938
2025-04-17 14:23:00,AAPL,198.53,198.51,198.29388427734375
2025-04-17 14:24:00,AAPL,198.52,198.53,198.31259155273438
2025-04-17 14:25:00,AAPL,198.54,198.52,198.33023071289062
2025-04-17 14:26:00,AAPL,198.515,198.42,198.34518432617188
2025-04-17 14:27:00,AAPL,198.4,198.4,198.35020446777344
2025-04-17 14:28:00,AAPL,198.4,198.425,198.34719848632812
2025-04-17 14:29:00,AAPL,198.425,198.285,198.34120178222656
2025-04-17 14:30:00,AAPL,198.29,198.375,198.3235626220703
2025-04-17 14:31:00,AAPL,198.3659,198.61,198.30636596679688
2025-04-17 14:32:00,AAPL,198.61,198.62,198.3074951171875
2025-04-17 14:33:00,AAPL,198.625,198.59,198.3204803466797
2025-04-17 14:34:00,AAPL,198.59,198.4,198.33770751953125
2025-04-17 14:35:00,AAPL,198.405,198.4398,198.3427276611328
